server_id,created_ts,owner_user_id,category
s_00084,2025-02-11 00:00:00,u_000708,creator
s_00085,2025-01-09 00:00:00,u_001730,study
s_00086,2025-02-10 00:00:00,u_001925,study
s_00087,2025-02-25 00:00:00,u_000635,creator
s_00088,2025-02-15 00:00:00,u_001042,creator
s_00089,2025-01-29 00:00:00,u_000967,esports
s_00090,2025-02-01 00:00:00,u_001403,creator
s_00091,2025-01-16 00:00:00,u_001902,study
s_00092,2025-02-09 00:00:00,u_001097,creator
s_00093,2025-01-15 00:00:00,u_001596,gaming
s_00094,2025-01-21 00:00:00,u_001191,gaming
s_00095,2025-01-16 00:00:00,u_001774,creator
s_00096,2025-01-21 00:00:00,u_000809,music
s_00097,2025-01-23 00:00:00,u_000770,esports
s_00098,2025-01-05 00:00:00,u_000844,creator
s_00099,2025-02-13 00:00:00,u_001993,gaming
s_00100,2025-01-27 00:00:00,u_001222,music
s_00101,2025-02-26 00:00:00,u_000305,esports
s_00102,2025-01-11 00:00:00,u_000081,gaming
s_00103,2025-02-10 00:00:00,u_001037,music
s_00104,2025-01-11 00:00:00,u_001611,creator
s_00105,2025-02-02 00:00:00,u_000958,gaming
s_00106,2025-01-30 00:00:00,u_001120,gaming
s_00107,2025-01-27 00:00:00,u_001596,study
s_00108,2025-02-09 00:00:00,u_001032,gaming
s_00109,2025-02-19 00:00:00,u_001817,music
s_00110,2025-01-20 00:00:00,u_001275,creator
s_00111,2025-02-20 00:00:00,u_001462,music
s_00112,2025-01-12 00:00:00,u_001562,esports
s_00113,2025-01-18 00:00:00,u_001253,esports
s_00114,2025-01-19 00:00:00,u_000100,music
s_00115,2025-02-27 00:00:00,u_000854,gaming
s_00116,2025-01-08 00:00:00,u_000282,study
s_00117,2025-01-24 00:00:00,u_001020,community
s_00118,2025-01-26 00:00:00,u_000286,music
s_00119,2025-02-18 00:00:00,u_001018,esports
s_00120,2025-01-30 00:00:00,u_000687,music
s_00121,2025-02-28 00:00:00,u_000040,music
s_00122,2025-02-14 00:00:00,u_000249,esports
s_00123,2025-02-12 00:00:00,u_001006,community
s_00124,2025-02-15 00:00:00,u_000157,gaming
s_00125,2025-01-10 00:00:00,u_001711,community
s_00126,2025-01-27 00:00:00,u_001517,esports
s_00127,2025-02-05 00:00:00,u_001418,gaming
s_00128,2025-01-13 00:00:00,u_000344,study
s_00129,2025-01-08 00:00:00,u_001591,study
s_00130,2025-01-09 00:00:00,u_001269,gaming
s_00131,2025-02-17 00:00:00,u_000780,esports
s_00132,2025-02-09 00:00:00,u_000000,gaming
s_00133,2025-01-17 00:00:00,u_001057,music
s_00134,2025-02-14 00:00:00,u_001591,community
s_00135,2025-02-11 00:00:00,u_000066,gaming
s_00136,2025-02-18 00:00:00,u_000105,esports
s_00137,2025-02-24 00:00:00,u_000765,creator
s_00138,2025-02-22 00:00:00,u_001023,esports
s_00139,2025-01-11 00:00:00,u_000948,music
s_00140,2025-02-16 00:00:00,u_000852,community
s_00141,2025-01-24 00:00:00,u_000510,esports
s_00142,2025-01-25 00:00:00,u_000119,esports
s_00143,2025-02-08 00:00:00,u_000062,gaming
s_00144,2025-02-06 00:00:00,u_000197,music
s_00145,2025-01-26 00:00:00,u_001380,community
s_00146,2025-03-01 00:00:00,u_001571,community
s_00147,2025-01-11 00:00:00,u_000870,gaming
s_00148,2025-01-06 00:00:00,u_000154,music
s_00149,2025-01-02 00:00:00,u_000831,esports
