message_id,user_id,server_id,channel_id,sent_ts,char_count
m_000000036,u_000597,s_00115,c_000226,2025-01-25 21:54:03,93
m_000000037,u_001013,s_00052,c_000257,2025-01-02 23:29:31,202
m_000000038,u_001091,s_00079,c_000584,2025-01-10 19:34:05,117
m_000000039,u_001587,s_00097,c_001162,2025-02-25 16:54:07,20
m_000000040,u_000671,s_00132,c_001035,2025-02-12 14:14:37,102
m_000000041,u_000210,s_00046,c_001102,2025-01-14 22:15:14,58
m_000000042,u_001165,s_00111,c_000277,2025-02-12 23:01:30,247
m_000000043,u_001560,s_00110,c_000008,2025-01-12 23:51:09,198
m_000000044,u_000027,s_00059,c_000807,2025-02-22 23:28:13,19
m_000000045,u_001616,s_00034,c_000482,2025-01-30 13:37:16,270
m_000000046,u_001597,s_00103,c_000556,2025-02-21 20:29:31,126
m_000000047,u_001146,s_00090,c_000881,2025-02-09 18:19:35,231
m_000000048,u_001889,s_00063,c_001187,2025-01-13 19:12:20,92
m_000000049,u_000757,s_00019,c_000212,2025-02-07 16:22:11,254
m_000000050,u_000255,s_00148,c_000730,2025-02-10 21:10:51,131
m_000000051,u_001308,s_00145,c_000038,2025-01-22 14:30:06,32
m_000000052,u_001208,s_00050,c_000601,2025-02-02 21:24:15,107
m_000000053,u_001820,s_00072,c_000043,2025-02-06 23:50:57,155
m_000000054,u_000440,s_00139,c_000979,2025-01-04 17:45:51,23
m_000000055,u_000302,s_00029,c_000677,2025-01-28 23:20:57,223
m_000000056,u_001350,s_00041,c_000307,2025-02-14 20:54:22,224
m_000000057,u_000607,s_00147,c_000276,2025-01-13 23:42:07,71
m_000000058,u_000356,s_00130,c_000785,2025-01-10 21:09:41,275
m_000000059,u_001336,s_00006,c_000309,2025-01-03 16:16:30,73
m_000000060,u_000357,s_00108,c_000462,2025-02-11 19:51:33,215
m_000000061,u_001658,s_00092,c_000018,2025-02-09 18:17:52,34
m_000000062,u_000607,s_00147,c_000418,2025-01-02 23:19:15,46
m_000000063,u_001299,s_00134,c_000871,2025-02-05 19:20:46,151
m_000000064,u_001146,s_00090,c_000068,2025-01-24 23:39:15,179
m_000000065,u_001174,s_00131,c_001012,2025-01-31 22:29:13,201
m_000000066,u_000596,s_00018,c_000323,2025-02-08 20:45:20,102
m_000000067,u_000163,s_00076,c_000880,2025-01-28 20:00:06,250
m_000000068,u_001276,s_00125,c_000167,2025-01-24 23:15:55,235
m_000000069,u_000852,s_00042,c_000163,2025-01-31 22:52:33,26
m_000000070,u_001947,s_00062,c_001043,2025-02-26 23:41:33,184
m_000000071,u_001769,s_00128,c_001148,2025-01-07 15:08:15,58
m_000000072,u_000139,s_00085,c_000320,2025-01-22 17:19:20,268
m_000000073,u_000710,s_00086,c_001154,2025-02-10 20:27:01,257
m_000000074,u_000813,s_00066,c_000980,2025-01-29 18:02:01,231
m_000000075,u_000744,s_00013,c_000310,2025-02-21 16:42:09,126
m_000000076,u_001436,s_00067,c_000965,2025-01-17 23:27:49,150
m_000000077,u_000703,s_00148,c_001179,2025-01-07 15:26:25,188
m_000000078,u_000289,s_00014,c_000362,2025-01-13 23:26:29,269
m_000000079,u_000712,s_00105,c_000533,2025-02-16 23:03:13,228
m_000000080,u_001567,s_00049,c_000345,2025-02-06 17:13:00,247
m_000000081,u_000792,s_00007,c_000050,2025-01-26 11:20:42,206
m_000000082,u_000561,s_00146,c_001121,2025-01-14 18:13:35,49
m_000000083,u_001542,s_00133,c_000690,2025-02-17 16:37:51,127
m_000000084,u_000122,s_00001,c_000218,2025-01-20 14:35:02,181
m_000000085,u_000895,s_00134,c_000632,2025-01-31 21:56:55,131
m_000000086,u_000196,s_00125,c_000936,2025-02-18 21:21:06,198
m_000000087,u_001204,s_00039,c_001029,2025-01-14 21:08:40,33
m_000000088,u_001789,s_00039,c_000935,2025-01-24 16:05:03,276
m_000000089,u_000869,s_00045,c_000426,2025-01-25 23:14:51,59
m_000000090,u_001956,s_00102,c_001108,2025-01-06 17:55:45,199
m_000000091,u_001741,s_00047,c_000919,2025-01-08 15:57:05,242
m_000000092,u_001443,s_00138,c_000536,2025-01-15 15:49:38,196
m_000000093,u_000345,s_00013,c_000944,2025-01-02 17:04:54,256
m_000000094,u_000063,s_00000,c_001191,2025-01-26 20:42:23,92
m_000000095,u_000238,s_00044,c_000041,2025-01-02 15:59:12,263
m_000000096,u_000685,s_00063,c_000730,2025-02-07 16:59:54,14
m_000000097,u_000796,s_00012,c_000807,2025-02-27 23:40:19,19
m_000000098,u_000410,s_00023,c_001047,2025-02-01 17:18:58,270
m_000000099,u_001942,s_00126,c_000575,2025-03-01 23:12:20,269
m_000000100,u_001472,s_00060,c_000411,2025-02-01 20:36:08,132
m_000000101,u_001390,s_00149,c_000242,2025-01-03 23:42:04,15
m_000000102,u_001298,s_00055,c_000495,2025-01-25 20:34:08,188
m_000000103,u_001222,s_00007,c_000500,2025-01-12 20:16:03,18
m_000000104,u_001754,s_00113,c_000996,2025-01-30 18:02:51,5
m_000000105,u_000762,s_00110,c_001028,2025-01-30 16:43:08,109
m_000000106,u_000268,s_00010,c_000607,2025-02-13 21:50:13,73
m_000000107,u_000578,s_00037,c_000827,2025-02-08 17:14:14,150
m_000000108,u_000448,s_00015,c_000881,2025-01-11 12:06:50,7
m_000000109,u_001904,s_00078,c_000752,2025-01-11 21:09:54,242
m_000000110,u_001125,s_00061,c_000900,2025-01-10 19:56:27,77
m_000000111,u_000840,s_00032,c_000097,2025-01-13 21:13:14,182
m_000000112,u_000046,s_00030,c_000555,2025-02-28 20:06:09,223
m_000000113,u_001412,s_00122,c_000800,2025-01-31 23:24:42,216
m_000000114,u_001289,s_00142,c_000621,2025-01-14 21:52:29,34
m_000000115,u_001612,s_00063,c_000910,2025-01-03 19:16:45,98
m_000000116,u_000250,s_00110,c_000379,2025-01-31 21:29:44,241
m_000000117,u_001310,s_00017,c_001139,2025-02-02 23:52:22,254
m_000000118,u_000711,s_00088,c_000148,2025-02-07 16:06:34,50
m_000000119,u_000455,s_00104,c_000957,2025-02-22 12:52:49,263
m_000000120,u_000439,s_00143,c_000871,2025-01-24 23:46:05,86
m_000000121,u_000566,s_00127,c_000095,2025-03-01 22:44:01,24
m_000000122,u_001453,s_00044,c_000294,2025-01-30 23:46:44,243
m_000000123,u_000040,s_00064,c_001132,2025-02-02 20:02:55,99
m_000000124,u_001888,s_00098,c_000818,2025-02-27 18:35:07,38
m_000000125,u_001932,s_00130,c_000950,2025-01-23 21:09:47,243
m_000000126,u_001929,s_00060,c_001013,2025-01-03 23:40:52,2
m_000000127,u_001661,s_00124,c_000004,2025-02-16 22:47:46,147
m_000000128,u_000634,s_00056,c_001020,2025-02-06 19:21:08,148
m_000000129,u_000789,s_00062,c_000855,2025-02-24 23:55:02,260
m_000000130,u_000243,s_00148,c_000293,2025-02-24 16:24:14,246
m_000000131,u_001774,s_00030,c_000364,2025-01-29 17:05:49,266
m_000000132,u_001535,s_00006,c_000472,2025-02-12 23:31:19,214
m_000000133,u_000292,s_00022,c_000726,2025-02-20 22:05:38,43
m_000000134,u_001975,s_00095,c_000322,2025-02-15 18:17:01,7
m_000000135,u_000078,s_00014,c_000339,2025-01-26 20:44:50,192
m_000000136,u_001528,s_00079,c_000649,2025-01-26 23:33:51,165
m_000000137,u_000259,s_00068,c_000876,2025-01-28 19:19:39,231
m_000000138,u_001491,s_00091,c_000516,2025-02-13 17:43:58,253
m_000000139,u_001757,s_00004,c_000224,2025-02-04 20:29:54,101
m_000000140,u_001892,s_00075,c_000134,2025-01-08 23:22:14,242
m_000000141,u_000306,s_00088,c_001001,2025-01-26 21:07:15,193
m_000000142,u_000314,s_00084,c_000586,2025-01-21 23:47:51,89
m_000000143,u_000125,s_00083,c_000087,2025-01-16 16:49:13,159
m_000000144,u_001637,s_00041,c_000447,2025-02-24 15:45:37,263
m_000000145,u_000358,s_00115,c_000028,2025-02-22 23:51:17,5
m_000000146,u_000762,s_00003,c_000241,2025-02-07 15:05:47,75
m_000000147,u_000811,s_00000,c_000158,2025-02-27 15:17:28,267
m_000000148,u_000689,s_00035,c_001113,2025-01-12 17:01:02,260
m_000000149,u_000979,s_00061,c_000461,2025-02-02 16:04:49,100
m_000000150,u_000686,s_00031,c_000208,2025-02-11 17:57:05,263
m_000000151,u_000462,s_00097,c_000788,2025-02-17 13:44:43,274
m_000000152,u_000757,s_00019,c_001193,2025-01-24 23:06:07,231
m_000000153,u_001602,s_00130,c_000576,2025-01-14 13:46:55,223
m_000000154,u_000227,s_00119,c_000219,2025-01-25 23:36:43,136
m_000000155,u_001911,s_00106,c_000570,2025-02-11 23:29:06,44
m_000000156,u_000800,s_00069,c_000748,2025-02-26 23:43:28,146
m_000000157,u_000572,s_00149,c_001038,2025-01-19 17:52:23,45
m_000000158,u_000873,s_00061,c_000168,2025-01-21 18:49:51,270
m_000000159,u_001851,s_00093,c_000671,2025-01-11 23:44:51,267
m_000000160,u_001608,s_00025,c_000050,2025-01-22 16:37:24,102
m_000000161,u_001627,s_00070,c_000609,2025-01-30 23:43:57,205
m_000000162,u_000432,s_00021,c_000017,2025-02-03 19:17:11,118
m_000000163,u_001762,s_00083,c_000503,2025-01-02 23:34:12,200
m_000000164,u_001402,s_00110,c_000594,2025-01-10 23:29:40,13
m_000000165,u_000110,s_00138,c_001174,2025-01-18 18:55:15,149
m_000000166,u_000840,s_00111,c_000231,2025-01-30 17:37:27,87
m_000000167,u_001660,s_00036,c_000291,2025-01-14 14:34:23,167
m_000000168,u_001058,s_00118,c_000695,2025-01-07 14:59:33,17
m_000000169,u_001164,s_00002,c_000186,2025-01-30 17:44:21,150
m_000000170,u_000731,s_00040,c_000070,2025-02-28 20:44:37,27
m_000000171,u_000072,s_00089,c_000590,2025-01-30 17:39:20,228
m_000000172,u_001761,s_00139,c_000287,2025-02-24 21:16:47,268
m_000000173,u_001498,s_00054,c_000813,2025-02-10 23:23:13,50
m_000000174,u_000531,s_00071,c_000111,2025-02-17 17:13:58,243
m_000000175,u_000474,s_00053,c_000026,2025-01-08 18:33:52,154
m_000000176,u_001023,s_00029,c_000266,2025-02-16 23:01:47,226
m_000000177,u_001587,s_00016,c_001028,2025-01-27 21:12:29,246
m_000000178,u_000166,s_00043,c_000663,2025-02-18 19:32:20,112
m_000000179,u_001246,s_00021,c_000339,2025-01-03 17:57:35,164
m_000000180,u_001687,s_00001,c_000715,2025-01-17 23:09:43,194
m_000000181,u_000970,s_00067,c_000774,2025-02-18 19:07:43,32
m_000000182,u_000097,s_00063,c_000530,2025-01-04 12:06:41,219
m_000000183,u_000042,s_00003,c_000207,2025-02-23 11:26:16,146
m_000000184,u_000310,s_00021,c_000443,2025-01-11 16:06:10,166
m_000000185,u_001769,s_00009,c_001046,2025-03-01 16:02:27,180
m_000000186,u_000902,s_00040,c_000842,2025-02-20 20:32:52,212
m_000000187,u_000278,s_00053,c_000430,2025-02-01 12:09:01,6
m_000000188,u_001799,s_00083,c_001077,2025-01-03 20:07:24,83
m_000000189,u_001652,s_00067,c_000224,2025-02-20 16:31:48,266
m_000000190,u_000277,s_00112,c_000200,2025-01-03 23:25:15,272
m_000000191,u_001367,s_00127,c_000023,2025-01-28 17:27:01,122
m_000000192,u_000648,s_00020,c_000109,2025-02-14 23:09:55,184
m_000000193,u_000128,s_00019,c_000370,2025-01-13 19:55:37,2
m_000000194,u_000115,s_00131,c_000065,2025-01-03 18:33:27,273
m_000000195,u_001075,s_00076,c_000455,2025-02-20 14:34:16,155
m_000000196,u_001679,s_00019,c_000083,2025-02-20 16:37:22,123
m_000000197,u_001916,s_00003,c_000042,2025-01-03 23:30:20,115
m_000000198,u_001401,s_00053,c_000699,2025-01-08 19:55:52,61
m_000000199,u_001836,s_00142,c_000666,2025-02-05 16:16:29,265
m_000000200,u_000462,s_00094,c_000953,2025-01-01 21:44:10,92
m_000000201,u_000277,s_00057,c_000545,2025-02-26 18:34:36,194
m_000000202,u_000210,s_00148,c_001036,2025-01-26 17:51:51,9
m_000000203,u_000333,s_00010,c_000591,2025-01-17 18:34:10,28
m_000000204,u_001498,s_00108,c_000326,2025-01-14 23:56:14,141
m_000000205,u_000291,s_00006,c_000160,2025-01-16 19:53:32,7
m_000000206,u_000849,s_00106,c_000588,2025-02-15 22:14:09,126
m_000000207,u_001504,s_00055,c_000459,2025-01-07 18:53:26,149
m_000000208,u_001843,s_00010,c_000616,2025-02-04 17:25:25,96
m_000000209,u_000306,s_00149,c_001161,2025-01-31 23:24:11,268
m_000000210,u_000360,s_00139,c_000063,2025-01-13 15:59:04,251
m_000000211,u_000120,s_00010,c_000428,2025-02-08 18:22:55,255
m_000000212,u_000213,s_00020,c_000163,2025-01-22 23:18:47,88
m_000000213,u_000762,s_00110,c_000951,2025-01-31 18:45:52,55
m_000000214,u_000612,s_00068,c_000644,2025-01-13 23:11:29,185
m_000000215,u_001927,s_00060,c_000148,2025-01-21 16:04:57,9
m_000000216,u_000873,s_00022,c_000955,2025-02-14 22:37:36,216
m_000000217,u_000603,s_00031,c_000147,2025-01-26 23:13:24,241
m_000000218,u_000925,s_00105,c_000926,2025-02-06 20:44:30,137
m_000000219,u_001437,s_00030,c_001198,2025-02-20 21:17:48,49
m_000000220,u_000664,s_00022,c_000614,2025-02-09 23:17:18,184
m_000000221,u_000273,s_00080,c_000778,2025-02-26 09:32:28,170
m_000000222,u_000823,s_00036,c_000028,2025-01-18 23:31:56,74
m_000000223,u_001233,s_00122,c_000797,2025-01-20 21:10:32,234
m_000000224,u_000616,s_00063,c_000181,2025-01-15 20:48:33,79
m_000000225,u_001154,s_00111,c_000511,2025-02-08 20:13:55,168
m_000000226,u_000635,s_00009,c_000617,2025-02-15 11:05:19,76
m_000000227,u_001798,s_00073,c_000913,2025-02-19 23:07:37,157
m_000000228,u_001765,s_00115,c_000940,2025-01-20 21:56:37,191
m_000000229,u_001423,s_00076,c_001113,2025-02-08 16:28:53,4
m_000000230,u_001666,s_00063,c_000903,2025-01-15 21:10:11,260
m_000000231,u_000231,s_00011,c_000098,2025-02-23 22:33:40,20
m_000000232,u_001302,s_00140,c_000820,2025-01-05 17:05:43,112
m_000000233,u_000792,s_00007,c_000206,2025-02-09 23:01:28,261
m_000000234,u_001548,s_00037,c_001136,2025-01-18 19:39:52,193
m_000000235,u_000000,s_00117,c_001039,2025-01-15 18:05:59,36
m_000000236,u_000361,s_00077,c_000371,2025-01-02 22:20:48,196
m_000000237,u_000472,s_00131,c_000094,2025-02-06 16:52:38,68
m_000000238,u_001108,s_00000,c_001085,2025-01-15 18:34:04,38
m_000000239,u_001937,s_00149,c_000430,2025-02-03 15:38:59,20
m_000000240,u_001782,s_00095,c_001020,2025-01-19 19:21:13,42
m_000000241,u_000896,s_00135,c_000099,2025-01-21 18:59:13,115
m_000000242,u_000001,s_00119,c_000304,2025-01-11 20:22:40,260
m_000000243,u_001728,s_00133,c_000489,2025-01-05 23:26:08,214
m_000000244,u_001136,s_00034,c_000153,2025-02-22 22:09:15,33
m_000000245,u_000042,s_00006,c_000536,2025-02-19 20:11:11,74
m_000000246,u_001286,s_00060,c_001109,2025-02-10 23:07:13,219
m_000000247,u_001751,s_00144,c_000216,2025-02-17 17:46:21,100
m_000000248,u_001734,s_00071,c_000503,2025-02-22 21:39:50,62
m_000000249,u_001768,s_00084,c_000097,2025-01-02 23:14:33,14
m_000000250,u_001945,s_00054,c_000789,2025-01-23 23:39:48,71
m_000000251,u_001302,s_00056,c_000500,2025-02-13 20:28:58,93
m_000000252,u_001215,s_00001,c_000611,2025-01-03 18:07:33,124
m_000000253,u_000224,s_00127,c_000617,2025-02-09 20:28:38,161
m_000000254,u_001261,s_00041,c_000789,2025-02-07 20:44:12,196
m_000000255,u_001745,s_00005,c_000884,2025-01-22 17:52:50,50
m_000000256,u_001617,s_00098,c_001162,2025-02-22 20:34:00,119
m_000000257,u_001789,s_00127,c_000871,2025-02-17 23:23:00,28
m_000000258,u_000326,s_00135,c_001014,2025-02-11 13:13:23,260
m_000000259,u_000388,s_00037,c_000083,2025-02-19 10:46:20,256
m_000000260,u_001710,s_00133,c_000146,2025-01-08 13:43:59,272
m_000000261,u_001873,s_00115,c_000525,2025-02-21 16:43:02,259
m_000000262,u_001045,s_00063,c_000166,2025-02-05 15:50:05,110
m_000000263,u_001752,s_00060,c_001012,2025-01-05 16:51:41,139
m_000000264,u_001356,s_00026,c_001029,2025-02-03 15:09:13,105
m_000000265,u_000396,s_00128,c_000716,2025-01-23 21:32:54,133
m_000000266,u_001001,s_00024,c_000584,2025-02-05 16:27:54,133
m_000000267,u_000768,s_00117,c_001025,2025-01-02 15:27:40,132
m_000000268,u_001572,s_00050,c_000681,2025-01-01 12:15:18,167
m_000000269,u_000663,s_00111,c_001141,2025-02-13 23:25:59,156
m_000000270,u_000339,s_00049,c_000966,2025-02-18 23:17:21,256
m_000000271,u_000983,s_00138,c_000401,2025-01-26 21:18:47,211
m_000000272,u_000975,s_00145,c_000776,2025-01-22 20:25:07,1
m_000000273,u_001768,s_00139,c_000159,2025-02-14 22:54:03,241
m_000000274,u_000012,s_00121,c_000056,2025-01-19 23:25:16,175
m_000000275,u_001742,s_00089,c_000100,2025-02-17 15:39:36,49
m_000000276,u_000412,s_00039,c_001183,2025-02-04 19:57:21,233
m_000000277,u_000339,s_00133,c_000151,2025-01-04 23:27:01,265
m_000000278,u_000818,s_00088,c_000247,2025-02-11 17:03:50,224
m_000000279,u_001094,s_00096,c_000818,2025-02-26 20:12:48,27
m_000000280,u_001848,s_00139,c_000208,2025-02-15 23:01:06,279
m_000000281,u_001061,s_00099,c_000143,2025-01-30 23:19:47,154
m_000000282,u_000276,s_00012,c_000834,2025-02-07 23:23:08,76
m_000000283,u_000886,s_00061,c_001142,2025-02-28 14:47:03,121
m_000000284,u_001830,s_00071,c_000154,2025-02-02 17:52:10,215
m_000000285,u_001419,s_00126,c_000790,2025-01-09 23:46:05,13
m_000000286,u_000424,s_00077,c_000641,2025-01-11 17:24:41,146
m_000000287,u_001288,s_00124,c_001146,2025-01-22 23:43:19,221
m_000000288,u_001454,s_00011,c_001144,2025-02-21 23:19:23,218
m_000000289,u_000536,s_00116,c_000676,2025-01-28 23:55:19,245
m_000000290,u_001048,s_00094,c_001062,2025-02-12 23:42:59,110
m_000000291,u_000685,s_00063,c_000242,2025-02-26 15:20:51,39
m_000000292,u_000350,s_00091,c_000709,2025-02-10 12:05:45,231
m_000000293,u_001767,s_00090,c_000201,2025-01-07 16:39:23,163
m_000000294,u_000625,s_00148,c_000029,2025-02-26 20:09:33,248
m_000000295,u_000637,s_00117,c_000921,2025-02-02 16:18:00,210
m_000000296,u_000192,s_00074,c_000678,2025-01-27 16:09:25,164
m_000000297,u_000872,s_00141,c_000000,2025-01-08 19:56:12,8
m_000000298,u_001282,s_00078,c_000968,2025-01-28 18:25:59,232
m_000000299,u_001939,s_00064,c_001050,2025-01-14 23:38:12,71
m_000000300,u_001546,s_00003,c_000477,2025-01-24 20:50:18,169
m_000000301,u_001709,s_00061,c_000035,2025-02-06 17:49:02,64
m_000000302,u_001970,s_00120,c_000354,2025-01-09 23:24:50,272
m_000000303,u_001389,s_00106,c_000725,2025-01-17 23:03:48,15
m_000000304,u_001709,s_00061,c_000064,2025-02-02 21:10:24,258
m_000000305,u_000595,s_00059,c_000466,2025-01-18 17:47:36,267
m_000000306,u_001420,s_00024,c_000263,2025-01-31 13:40:59,69
m_000000307,u_001253,s_00122,c_000733,2025-02-10 18:43:16,102
m_000000308,u_000887,s_00042,c_000248,2025-01-17 15:08:14,213
m_000000309,u_001279,s_00017,c_000938,2025-02-18 21:03:59,149
m_000000310,u_001430,s_00013,c_000364,2025-01-18 23:37:26,244
m_000000311,u_000803,s_00039,c_000134,2025-01-03 16:34:54,49
m_000000312,u_001678,s_00063,c_000325,2025-02-22 17:11:24,49
m_000000313,u_000068,s_00110,c_001135,2025-01-14 22:14:13,245
m_000000314,u_000635,s_00059,c_000956,2025-01-25 17:53:27,66
m_000000315,u_000717,s_00120,c_000714,2025-02-01 12:58:08,114
m_000000316,u_001653,s_00092,c_000249,2025-02-15 23:11:01,17
m_000000317,u_001003,s_00001,c_000458,2025-02-24 14:55:17,149
m_000000318,u_001856,s_00032,c_000559,2025-01-25 19:05:17,91
m_000000319,u_001892,s_00129,c_001174,2025-01-23 19:17:21,104
m_000000320,u_000905,s_00050,c_000388,2025-01-13 18:46:57,5
m_000000321,u_001442,s_00103,c_000973,2025-01-18 22:22:25,25
m_000000322,u_000484,s_00005,c_000343,2025-02-03 13:40:40,45
m_000000323,u_000207,s_00045,c_000194,2025-01-06 21:14:06,259
m_000000324,u_000966,s_00145,c_000926,2025-02-21 16:16:21,137
m_000000325,u_000591,s_00048,c_000106,2025-01-13 20:29:28,182
m_000000326,u_001448,s_00121,c_000920,2025-02-05 16:34:43,188
m_000000327,u_001034,s_00038,c_001107,2025-01-30 20:59:12,235
m_000000328,u_000259,s_00124,c_000176,2025-01-11 23:58:06,91
m_000000329,u_000887,s_00141,c_000701,2025-01-18 19:11:18,234
m_000000330,u_000785,s_00113,c_000198,2025-02-01 18:22:19,272
m_000000331,u_000007,s_00130,c_000556,2025-02-05 16:57:50,221
m_000000332,u_001080,s_00113,c_000554,2025-01-11 20:13:33,190
m_000000333,u_001863,s_00032,c_000092,2025-01-19 23:02:46,163
m_000000334,u_001783,s_00065,c_000223,2025-01-29 19:05:55,194
m_000000335,u_001798,s_00098,c_000650,2025-01-15 23:46:24,216
m_000000336,u_001776,s_00001,c_001007,2025-01-09 18:21:01,113
m_000000337,u_001837,s_00058,c_000325,2025-02-08 23:49:56,241
m_000000338,u_000187,s_00049,c_001007,2025-01-12 12:41:36,4
m_000000339,u_000842,s_00088,c_000231,2025-02-13 17:16:21,253
m_000000340,u_001080,s_00073,c_000029,2025-01-09 16:18:56,52
m_000000341,u_001659,s_00046,c_000469,2025-02-25 19:43:55,165
m_000000342,u_000729,s_00072,c_000002,2025-02-01 22:01:36,20
m_000000343,u_001407,s_00144,c_000042,2025-02-03 23:32:59,224
m_000000344,u_001556,s_00019,c_000365,2025-01-25 20:48:19,10
m_000000345,u_001013,s_00129,c_000717,2025-02-26 23:44:58,198
m_000000346,u_000472,s_00020,c_001155,2025-01-05 16:20:59,63
m_000000347,u_000145,s_00081,c_000745,2025-01-13 18:25:08,162
m_000000348,u_000873,s_00061,c_000808,2025-02-13 22:08:57,5
m_000000349,u_000321,s_00025,c_000833,2025-02-01 13:57:02,39
m_000000350,u_001283,s_00102,c_000628,2025-02-02 15:25:26,1
m_000000351,u_000468,s_00142,c_000027,2025-01-28 20:33:25,185
m_000000352,u_001746,s_00013,c_000409,2025-01-31 19:24:12,220
m_000000353,u_001781,s_00090,c_000210,2025-02-11 20:57:26,57
m_000000354,u_001665,s_00035,c_000672,2025-01-31 13:56:39,54
m_000000355,u_001325,s_00144,c_000926,2025-01-14 18:58:53,252
m_000000356,u_000221,s_00122,c_000510,2025-02-19 18:14:06,205
m_000000357,u_001960,s_00111,c_000689,2025-01-08 20:33:28,127
m_000000358,u_000122,s_00001,c_000766,2025-02-25 23:37:51,10
m_000000359,u_001124,s_00030,c_000010,2025-01-27 20:50:38,168
m_000000360,u_001598,s_00083,c_000899,2025-01-29 15:27:13,80
m_000000361,u_000160,s_00025,c_000876,2025-02-10 21:49:01,275
m_000000362,u_000979,s_00020,c_001158,2025-02-20 12:02:42,61
m_000000363,u_000941,s_00133,c_000499,2025-02-13 20:18:11,89
m_000000364,u_000380,s_00017,c_001165,2025-01-10 21:00:11,117
m_000000365,u_000213,s_00118,c_000315,2025-02-10 19:31:56,164
m_000000366,u_001809,s_00025,c_000487,2025-02-15 22:28:38,237
m_000000367,u_001791,s_00114,c_000905,2025-02-08 14:00:41,119
m_000000368,u_000180,s_00025,c_000596,2025-01-24 23:30:20,18
m_000000369,u_000546,s_00055,c_000432,2025-01-10 16:19:41,12
m_000000370,u_000764,s_00089,c_000692,2025-01-06 09:07:27,249
m_000000371,u_000380,s_00029,c_000544,2025-02-17 14:26:01,210
m_000000372,u_000123,s_00008,c_000113,2025-02-22 23:27:07,213
m_000000373,u_001012,s_00025,c_001032,2025-02-03 23:46:06,154
m_000000374,u_000868,s_00027,c_000913,2025-02-23 14:57:41,279
m_000000375,u_001604,s_00129,c_000179,2025-01-05 23:29:43,80
m_000000376,u_000582,s_00075,c_000258,2025-02-25 23:43:01,238
m_000000377,u_001008,s_00017,c_000678,2025-01-16 14:45:09,230
m_000000378,u_000611,s_00042,c_000541,2025-01-23 23:02:40,154
m_000000379,u_000072,s_00089,c_000124,2025-01-16 18:12:59,118
m_000000380,u_001443,s_00020,c_000429,2025-01-23 22:12:28,148
m_000000381,u_001472,s_00060,c_001173,2025-01-08 23:43:15,88
m_000000382,u_001321,s_00113,c_000339,2025-01-30 23:19:05,48
m_000000383,u_000066,s_00003,c_000374,2025-01-09 19:51:51,59
m_000000384,u_001383,s_00139,c_000983,2025-01-11 16:04:59,125
m_000000385,u_001199,s_00129,c_001092,2025-02-23 22:14:16,153
m_000000386,u_000866,s_00103,c_000226,2025-01-07 23:29:17,201
