voice_session_id,user_id,server_id,started_ts,ended_ts
v_000000197,u_001937,s_00016,2025-01-14 15:38:35,2025-01-14 15:49:35
v_000000198,u_001619,s_00048,2025-02-24 19:20:40,2025-02-24 19:36:40
v_000000199,u_000927,s_00005,2025-02-16 21:17:40,2025-02-16 21:18:40
v_000000200,u_001773,s_00073,2025-01-12 23:40:54,2025-01-13 00:09:54
v_000000201,u_001221,s_00010,2025-02-18 20:38:01,2025-02-18 20:40:01
v_000000202,u_001976,s_00133,2025-01-05 15:49:59,2025-01-05 16:07:59
v_000000203,u_001449,s_00121,2025-01-05 16:45:53,2025-01-05 17:03:53
v_000000204,u_000842,s_00081,2025-02-11 23:47:25,2025-02-12 00:01:25
v_000000205,u_001979,s_00037,2025-01-25 14:35:24,2025-01-25 14:43:24
v_000000206,u_001418,s_00012,2025-02-04 21:03:47,2025-02-04 21:31:47
v_000000207,u_000556,s_00127,2025-01-06 13:06:39,2025-01-06 13:11:39
v_000000208,u_000123,s_00035,2025-01-28 22:51:39,2025-01-28 23:22:39
v_000000209,u_001496,s_00129,2025-01-05 19:26:11,2025-01-05 19:51:11
v_000000210,u_001862,s_00048,2025-02-12 20:22:26,2025-02-12 20:26:26
v_000000211,u_000235,s_00103,2025-02-24 23:38:31,2025-02-24 23:48:31
v_000000212,u_000696,s_00131,2025-02-18 08:01:27,2025-02-18 08:03:27
v_000000213,u_000919,s_00044,2025-01-03 23:32:18,2025-01-03 23:33:18
v_000000214,u_000176,s_00068,2025-01-08 20:51:23,2025-01-08 20:52:23
v_000000215,u_001344,s_00015,2025-02-13 18:21:35,2025-02-13 18:32:35
v_000000216,u_000009,s_00096,2025-02-25 20:47:59,2025-02-25 20:59:59
v_000000217,u_000808,s_00127,2025-02-01 20:12:19,2025-02-01 20:15:19
v_000000218,u_001636,s_00097,2025-01-15 17:21:35,2025-01-15 17:32:35
v_000000219,u_001947,s_00054,2025-02-14 15:56:27,2025-02-14 16:17:27
v_000000220,u_001958,s_00075,2025-02-02 15:33:31,2025-02-02 15:40:31
v_000000221,u_000718,s_00054,2025-01-02 20:27:56,2025-01-02 20:33:56
v_000000222,u_000160,s_00025,2025-01-05 22:09:48,2025-01-05 22:17:48
v_000000223,u_000754,s_00038,2025-01-05 23:48:47,2025-01-06 00:25:47
v_000000224,u_000841,s_00049,2025-02-06 21:52:53,2025-02-06 21:59:53
v_000000225,u_000351,s_00123,2025-01-07 13:09:18,2025-01-07 13:36:18
v_000000226,u_001035,s_00084,2025-01-03 23:43:58,2025-01-03 23:44:58
v_000000227,u_000269,s_00012,2025-01-19 19:35:10,2025-01-19 19:37:10
v_000000228,u_000872,s_00055,2025-01-19 21:46:57,2025-01-19 21:48:57
v_000000229,u_001231,s_00062,2025-01-05 16:36:20,2025-01-05 17:38:20
v_000000230,u_001204,s_00007,2025-02-19 15:29:19,2025-02-19 15:32:19
v_000000231,u_000277,s_00112,2025-01-30 23:34:24,2025-01-30 23:46:24
v_000000232,u_000902,s_00040,2025-01-24 17:23:49,2025-01-24 17:57:49
v_000000233,u_001255,s_00071,2025-02-27 20:11:28,2025-02-27 20:17:28
v_000000234,u_001843,s_00014,2025-02-15 15:31:48,2025-02-15 15:46:48
v_000000235,u_001589,s_00092,2025-01-04 23:34:29,2025-01-04 23:55:29
v_000000236,u_001338,s_00136,2025-02-20 20:55:09,2025-02-20 21:01:09
v_000000237,u_000717,s_00110,2025-02-14 23:39:43,2025-02-15 00:13:43
v_000000238,u_001942,s_00133,2025-02-12 19:20:06,2025-02-12 19:57:06
v_000000239,u_000167,s_00110,2025-01-18 23:56:45,2025-01-19 00:08:45
v_000000240,u_000882,s_00010,2025-03-01 19:34:50,2025-03-01 20:05:50
v_000000241,u_000594,s_00005,2025-01-19 22:00:39,2025-01-19 22:02:39
v_000000242,u_000541,s_00124,2025-02-13 17:30:49,2025-02-13 17:43:49
v_000000243,u_000139,s_00113,2025-01-31 14:44:00,2025-01-31 14:57:00
v_000000244,u_001551,s_00082,2025-01-02 22:44:30,2025-01-02 22:45:30
v_000000245,u_000133,s_00079,2025-01-09 18:06:17,2025-01-09 20:26:17
v_000000246,u_000785,s_00030,2025-01-05 18:35:50,2025-01-05 19:01:50
v_000000247,u_000529,s_00033,2025-01-07 23:50:21,2025-01-08 00:20:21
v_000000248,u_000275,s_00142,2025-02-19 23:20:59,2025-02-19 23:56:59
v_000000249,u_001424,s_00024,2025-01-20 16:38:51,2025-01-20 16:57:51
v_000000250,u_001000,s_00064,2025-02-16 13:36:04,2025-02-16 13:38:04
v_000000251,u_000852,s_00032,2025-02-24 14:40:31,2025-02-24 15:13:31
v_000000252,u_000888,s_00055,2025-01-30 13:47:47,2025-01-30 14:24:47
v_000000253,u_000864,s_00054,2025-02-08 15:48:36,2025-02-08 16:03:36
v_000000254,u_000755,s_00018,2025-01-16 23:50:56,2025-01-17 00:10:56
v_000000255,u_000541,s_00124,2025-02-23 08:48:57,2025-02-23 09:07:57
v_000000256,u_001351,s_00149,2025-01-13 21:26:41,2025-01-13 21:29:41
v_000000257,u_000606,s_00037,2025-01-02 16:06:48,2025-01-02 16:07:48
v_000000258,u_001079,s_00127,2025-02-04 21:55:36,2025-02-04 21:58:36
v_000000259,u_000167,s_00032,2025-02-22 23:41:10,2025-02-22 23:55:10
v_000000260,u_001590,s_00069,2025-01-09 15:21:45,2025-01-09 15:43:45
v_000000261,u_000351,s_00085,2025-01-04 23:09:25,2025-01-04 23:12:25
v_000000262,u_000424,s_00106,2025-01-27 19:17:56,2025-01-27 20:08:56
v_000000263,u_000247,s_00014,2025-01-04 16:59:09,2025-01-04 17:16:09
v_000000264,u_000547,s_00099,2025-02-01 18:08:41,2025-02-01 18:29:41
v_000000265,u_001590,s_00101,2025-01-29 17:17:38,2025-01-29 17:25:38
v_000000266,u_001828,s_00086,2025-02-21 09:31:00,2025-02-21 09:49:00
v_000000267,u_001844,s_00148,2025-02-09 21:58:00,2025-02-09 22:12:00
v_000000268,u_001019,s_00123,2025-01-29 18:54:51,2025-01-29 19:30:51
v_000000269,u_001682,s_00132,2025-02-24 13:00:25,2025-02-24 13:05:25
v_000000270,u_000006,s_00097,2025-02-12 16:23:08,2025-02-12 17:46:08
v_000000271,u_000272,s_00019,2025-01-09 13:13:40,2025-01-09 13:17:40
v_000000272,u_001417,s_00143,2025-02-10 23:25:30,2025-02-11 00:05:30
v_000000273,u_000027,s_00048,2025-02-12 18:41:46,2025-02-12 18:52:46
v_000000274,u_000698,s_00134,2025-01-26 23:24:35,2025-01-26 23:33:35
v_000000275,u_001535,s_00123,2025-01-19 21:29:41,2025-01-19 21:30:41
v_000000276,u_000606,s_00126,2025-02-08 21:51:28,2025-02-08 22:04:28
v_000000277,u_001557,s_00105,2025-01-23 23:07:26,2025-01-23 23:33:26
v_000000278,u_000941,s_00140,2025-02-07 23:23:43,2025-02-07 23:37:43
v_000000279,u_001700,s_00081,2025-01-18 22:34:39,2025-01-18 22:46:39
v_000000280,u_001580,s_00013,2025-02-20 23:15:31,2025-02-20 23:19:31
v_000000281,u_001609,s_00053,2025-02-03 20:38:03,2025-02-03 20:43:03
v_000000282,u_000329,s_00124,2025-01-09 23:08:12,2025-01-09 23:12:12
v_000000283,u_001102,s_00052,2025-02-06 19:14:20,2025-02-06 19:27:20
v_000000284,u_000255,s_00135,2025-02-12 19:37:21,2025-02-12 19:39:21
v_000000285,u_000200,s_00042,2025-02-09 16:31:03,2025-02-09 16:34:03
v_000000286,u_000941,s_00109,2025-02-19 15:24:38,2025-02-19 15:56:38
v_000000287,u_000274,s_00029,2025-02-14 15:55:21,2025-02-14 15:59:21
v_000000288,u_001486,s_00000,2025-01-23 15:35:40,2025-01-23 16:08:40
v_000000289,u_001130,s_00124,2025-02-23 18:17:29,2025-02-23 18:45:29
v_000000290,u_001870,s_00034,2025-01-28 17:58:41,2025-01-28 18:43:41
v_000000291,u_001579,s_00003,2025-02-03 22:54:25,2025-02-03 23:16:25
v_000000292,u_001731,s_00102,2025-02-09 18:06:59,2025-02-09 18:11:59
v_000000293,u_000124,s_00076,2025-01-14 22:45:10,2025-01-14 23:29:10
v_000000294,u_000081,s_00097,2025-02-01 18:25:28,2025-02-01 18:27:28
v_000000295,u_000515,s_00087,2025-02-24 17:41:36,2025-02-24 17:42:36
v_000000296,u_001051,s_00098,2025-02-25 23:26:59,2025-02-25 23:28:59
v_000000297,u_001292,s_00003,2025-02-26 15:49:58,2025-02-26 16:07:58
v_000000298,u_000755,s_00065,2025-02-20 22:12:52,2025-02-20 22:13:52
v_000000299,u_001141,s_00100,2025-01-18 19:34:37,2025-01-18 19:55:37
v_000000300,u_001752,s_00077,2025-02-28 18:35:09,2025-02-28 18:36:09
v_000000301,u_000068,s_00010,2025-02-17 21:40:18,2025-02-17 22:04:18
v_000000302,u_001411,s_00010,2025-02-04 18:16:23,2025-02-04 18:51:23
v_000000303,u_001627,s_00011,2025-01-25 23:26:41,2025-01-25 23:37:41
v_000000304,u_001129,s_00022,2025-02-05 18:50:46,2025-02-05 18:51:46
v_000000305,u_000292,s_00043,2025-02-19 23:18:15,2025-02-19 23:38:15
v_000000306,u_001606,s_00020,2025-01-12 19:56:49,2025-01-12 20:09:49
v_000000307,u_001701,s_00108,2025-02-01 15:18:39,2025-02-01 15:19:39
v_000000308,u_001350,s_00020,2025-02-09 20:11:06,2025-02-09 21:26:06
v_000000309,u_000210,s_00046,2025-02-10 23:01:01,2025-02-10 23:04:01
v_000000310,u_001731,s_00102,2025-02-16 16:38:54,2025-02-16 16:59:54
v_000000311,u_000769,s_00110,2025-02-16 22:54:08,2025-02-16 23:03:08
v_000000312,u_000852,s_00032,2025-01-27 14:00:25,2025-01-27 14:41:25
v_000000313,u_001079,s_00043,2025-02-14 16:38:34,2025-02-14 16:39:34
v_000000314,u_000304,s_00080,2025-02-19 21:42:12,2025-02-19 21:45:12
v_000000315,u_001004,s_00006,2025-02-26 23:59:18,2025-02-27 00:01:18
v_000000316,u_001591,s_00095,2025-01-31 20:34:53,2025-01-31 20:35:53
v_000000317,u_000618,s_00052,2025-02-28 23:30:26,2025-03-01 00:10:26
v_000000318,u_001618,s_00114,2025-01-26 16:25:06,2025-01-26 18:08:06
v_000000319,u_000018,s_00128,2025-02-08 23:42:47,2025-02-09 00:01:47
v_000000320,u_000455,s_00055,2025-01-28 20:51:11,2025-01-28 21:30:11
v_000000321,u_001080,s_00113,2025-01-31 09:08:09,2025-01-31 09:09:09
v_000000322,u_001985,s_00037,2025-01-25 23:18:36,2025-01-25 23:22:36
v_000000323,u_001796,s_00028,2025-02-07 12:06:07,2025-02-07 12:21:07
v_000000324,u_000833,s_00061,2025-02-23 16:40:44,2025-02-23 16:45:44
v_000000325,u_001410,s_00103,2025-01-09 23:22:17,2025-01-09 23:27:17
v_000000326,u_001998,s_00078,2025-02-22 17:08:23,2025-02-22 17:15:23
v_000000327,u_001550,s_00116,2025-01-10 20:26:57,2025-01-10 21:27:57
v_000000328,u_001524,s_00094,2025-01-02 18:30:35,2025-01-02 19:37:35
v_000000329,u_001954,s_00052,2025-02-01 14:54:31,2025-02-01 15:41:31
v_000000330,u_001048,s_00044,2025-01-08 21:18:02,2025-01-08 21:26:02
v_000000331,u_000562,s_00130,2025-01-23 19:21:15,2025-01-23 19:37:15
