server_join_id,user_id,server_id,joined_ts
j_00000037,u_000008,s_00077,2025-02-27 20:14:00
j_00000038,u_000008,s_00063,2025-01-03 17:28:58
j_00000039,u_000008,s_00122,2025-01-13 19:45:02
j_00000040,u_000009,s_00096,2025-01-21 23:23:00
j_00000041,u_000009,s_00049,2025-01-04 19:30:05
j_00000042,u_000010,s_00129,2025-02-23 15:58:17
j_00000043,u_000010,s_00131,2025-01-22 14:29:58
j_00000044,u_000010,s_00058,2025-02-16 20:47:09
j_00000045,u_000010,s_00125,2025-01-09 16:23:34
j_00000046,u_000010,s_00022,2025-02-01 20:04:39
j_00000047,u_000011,s_00047,2025-01-08 13:15:47
j_00000048,u_000011,s_00136,2025-01-14 22:09:41
j_00000049,u_000011,s_00130,2025-01-25 15:54:59
j_00000050,u_000011,s_00018,2025-02-21 20:01:39
j_00000051,u_000011,s_00021,2025-01-19 18:49:50
j_00000052,u_000011,s_00127,2025-02-15 23:08:19
j_00000053,u_000012,s_00086,2025-01-06 20:09:24
j_00000054,u_000012,s_00061,2025-01-16 23:31:44
j_00000055,u_000012,s_00126,2025-02-06 22:04:52
j_00000056,u_000012,s_00128,2025-01-29 23:04:00
j_00000057,u_000012,s_00121,2025-01-31 19:46:26
j_00000058,u_000013,s_00086,2025-02-10 21:03:48
j_00000059,u_000014,s_00111,2025-01-05 23:35:06
j_00000060,u_000014,s_00107,2025-02-11 23:07:21
j_00000061,u_000014,s_00137,2025-02-21 22:05:32
j_00000062,u_000015,s_00111,2025-02-15 18:40:04
j_00000063,u_000015,s_00141,2025-01-18 19:23:54
j_00000064,u_000015,s_00106,2025-01-22 23:01:22
j_00000065,u_000015,s_00048,2025-02-27 23:40:47
j_00000066,u_000015,s_00045,2025-02-17 17:58:25
j_00000067,u_000016,s_00029,2025-02-25 17:33:24
j_00000068,u_000016,s_00117,2025-02-24 16:22:57
j_00000069,u_000016,s_00140,2025-01-27 23:50:51
j_00000070,u_000017,s_00089,2025-01-08 16:20:30
j_00000071,u_000017,s_00114,2025-01-14 23:36:27
j_00000072,u_000017,s_00127,2025-01-18 22:28:46
j_00000073,u_000017,s_00046,2025-02-20 17:43:41
j_00000074,u_000017,s_00082,2025-01-17 23:31:58
j_00000075,u_000018,s_00092,2025-01-22 14:28:19
j_00000076,u_000018,s_00065,2025-02-21 23:25:06
j_00000077,u_000018,s_00080,2025-01-10 21:17:11
j_00000078,u_000018,s_00059,2025-02-09 11:29:31
j_00000079,u_000018,s_00128,2025-02-03 23:03:18
j_00000080,u_000019,s_00087,2025-03-01 23:20:48
j_00000081,u_000020,s_00096,2025-01-30 18:04:52
j_00000082,u_000020,s_00036,2025-02-01 16:19:11
j_00000083,u_000020,s_00041,2025-02-21 13:21:59
j_00000084,u_000020,s_00146,2025-03-01 23:01:37
j_00000085,u_000021,s_00013,2025-02-13 16:17:15
j_00000086,u_000021,s_00110,2025-02-11 14:40:12
j_00000087,u_000022,s_00010,2025-02-22 21:58:09
j_00000088,u_000022,s_00091,2025-02-28 13:37:28
j_00000089,u_000022,s_00112,2025-02-14 16:42:04
j_00000090,u_000023,s_00049,2025-01-18 23:40:07
j_00000091,u_000023,s_00001,2025-02-08 21:56:45
j_00000092,u_000023,s_00024,2025-01-15 18:56:29
j_00000093,u_000024,s_00146,2025-01-31 20:06:31
j_00000094,u_000024,s_00086,2025-01-27 18:28:19
j_00000095,u_000024,s_00144,2025-03-01 19:54:33
j_00000096,u_000024,s_00043,2025-02-03 16:52:20
j_00000097,u_000024,s_00005,2025-02-27 17:32:02
j_00000098,u_000025,s_00051,2025-02-18 17:26:34
j_00000099,u_000025,s_00036,2025-02-20 17:03:04
j_00000100,u_000025,s_00061,2025-01-11 23:28:41
j_00000101,u_000025,s_00145,2025-02-16 23:30:54
j_00000102,u_000025,s_00042,2025-01-16 16:37:40
j_00000103,u_000025,s_00143,2025-02-04 15:31:34
j_00000104,u_000026,s_00005,2025-01-30 19:12:57
j_00000105,u_000026,s_00079,2025-01-16 23:58:13
j_00000106,u_000026,s_00011,2025-03-01 15:13:46
j_00000107,u_000027,s_00074,2025-02-22 19:22:12
j_00000108,u_000027,s_00113,2025-02-04 20:30:00
j_00000109,u_000027,s_00048,2025-01-01 19:17:14
j_00000110,u_000027,s_00059,2025-01-11 18:04:30
j_00000111,u_000028,s_00052,2025-01-14 23:36:03
j_00000112,u_000028,s_00006,2025-02-28 21:14:16
j_00000113,u_000028,s_00125,2025-01-25 23:52:02
j_00000114,u_000028,s_00127,2025-01-03 22:47:14
j_00000115,u_000029,s_00136,2025-02-05 23:25:43
j_00000116,u_000029,s_00021,2025-02-27 23:27:09
j_00000117,u_000029,s_00089,2025-02-03 23:56:15
j_00000118,u_000029,s_00037,2025-01-27 23:01:08
j_00000119,u_000030,s_00114,2025-01-11 23:22:23
j_00000120,u_000030,s_00021,2025-02-22 17:03:45
j_00000121,u_000030,s_00087,2025-01-07 23:08:32
j_00000122,u_000030,s_00050,2025-02-26 22:55:12
j_00000123,u_000031,s_00023,2025-01-14 23:06:19
j_00000124,u_000031,s_00053,2025-01-09 16:57:40
j_00000125,u_000031,s_00036,2025-01-21 22:47:28
j_00000126,u_000031,s_00060,2025-01-01 17:38:27
j_00000127,u_000031,s_00065,2025-01-01 22:44:51
j_00000128,u_000032,s_00122,2025-01-12 19:11:49
j_00000129,u_000032,s_00035,2025-02-11 21:07:14
j_00000130,u_000032,s_00104,2025-02-18 14:22:42
j_00000131,u_000032,s_00039,2025-01-15 23:45:47
j_00000132,u_000032,s_00097,2025-02-08 20:18:53
j_00000133,u_000032,s_00041,2025-01-22 20:10:15
j_00000134,u_000033,s_00148,2025-01-26 23:47:43
j_00000135,u_000033,s_00044,2025-01-21 18:38:11
j_00000136,u_000033,s_00086,2025-02-23 21:32:26
j_00000137,u_000033,s_00126,2025-01-31 20:24:04
j_00000138,u_000033,s_00104,2025-01-31 20:46:36
j_00000139,u_000034,s_00112,2025-02-21 23:44:41
j_00000140,u_000035,s_00018,2025-02-09 20:21:26
j_00000141,u_000035,s_00110,2025-01-09 17:07:24
j_00000142,u_000035,s_00099,2025-01-12 23:52:14
j_00000143,u_000036,s_00070,2025-01-21 18:08:46
j_00000144,u_000036,s_00136,2025-01-06 13:25:54
j_00000145,u_000036,s_00062,2025-02-11 17:53:07
j_00000146,u_000037,s_00148,2025-01-30 15:25:16
j_00000147,u_000037,s_00092,2025-01-03 12:49:36
j_00000148,u_000037,s_00096,2025-01-25 18:29:21
j_00000149,u_000037,s_00116,2025-02-19 19:44:00
j_00000150,u_000038,s_00062,2025-02-24 23:35:01
j_00000151,u_000038,s_00092,2025-02-27 22:16:14
j_00000152,u_000038,s_00088,2025-02-25 22:53:58
j_00000153,u_000038,s_00048,2025-02-06 16:28:36
j_00000154,u_000039,s_00004,2025-02-25 23:27:15
j_00000155,u_000039,s_00061,2025-02-27 23:39:03
j_00000156,u_000039,s_00095,2025-02-08 21:55:45
j_00000157,u_000039,s_00119,2025-01-25 21:52:22
j_00000158,u_000039,s_00011,2025-02-27 14:23:23
j_00000159,u_000040,s_00131,2025-01-25 23:13:33
j_00000160,u_000040,s_00071,2025-01-10 23:19:13
j_00000161,u_000040,s_00064,2025-01-07 21:15:43
j_00000162,u_000041,s_00063,2025-02-04 17:17:18
j_00000163,u_000041,s_00058,2025-01-03 19:25:42
j_00000164,u_000042,s_00003,2025-01-08 18:01:31
j_00000165,u_000042,s_00123,2025-01-15 18:31:08
j_00000166,u_000042,s_00006,2025-02-01 22:50:37
j_00000167,u_000043,s_00004,2025-01-29 21:25:04
j_00000168,u_000043,s_00088,2025-01-31 23:04:42
j_00000169,u_000043,s_00071,2025-01-31 21:23:22
j_00000170,u_000043,s_00146,2025-03-01 16:20:40
j_00000171,u_000043,s_00021,2025-01-14 17:35:14
j_00000172,u_000043,s_00121,2025-01-29 17:15:24
j_00000173,u_000044,s_00044,2025-02-06 19:18:18
j_00000174,u_000044,s_00038,2025-01-17 23:44:15
j_00000175,u_000045,s_00108,2025-01-11 23:10:20
j_00000176,u_000046,s_00023,2025-01-03 23:55:03
j_00000177,u_000046,s_00031,2025-01-20 20:17:23
j_00000178,u_000046,s_00086,2025-01-16 14:49:07
j_00000179,u_000046,s_00032,2025-01-12 20:04:31
j_00000180,u_000046,s_00122,2025-01-17 16:19:05
j_00000181,u_000046,s_00030,2025-02-11 23:22:00
j_00000182,u_000047,s_00040,2025-02-19 13:27:26
j_00000183,u_000047,s_00028,2025-01-31 21:05:17
j_00000184,u_000048,s_00115,2025-01-04 16:14:52
j_00000185,u_000048,s_00098,2025-02-14 19:52:15
j_00000186,u_000048,s_00012,2025-01-10 22:55:23
j_00000187,u_000048,s_00008,2025-01-04 23:26:14
j_00000188,u_000049,s_00066,2025-02-04 19:07:53
j_00000189,u_000049,s_00031,2025-01-26 23:16:47
j_00000190,u_000049,s_00084,2025-01-19 17:57:10
j_00000191,u_000049,s_00042,2025-02-28 20:55:15
j_00000192,u_000049,s_00137,2025-01-06 23:48:11
j_00000193,u_000050,s_00069,2025-01-04 21:51:09
j_00000194,u_000050,s_00000,2025-02-05 17:42:14
j_00000195,u_000051,s_00091,2025-01-26 18:37:51
j_00000196,u_000051,s_00061,2025-02-18 23:46:27
j_00000197,u_000051,s_00064,2025-01-03 15:38:22
j_00000198,u_000052,s_00048,2025-01-26 16:20:11
j_00000199,u_000052,s_00044,2025-01-09 22:38:11
j_00000200,u_000053,s_00103,2025-01-03 18:17:33
j_00000201,u_000054,s_00014,2025-01-28 14:37:45
j_00000202,u_000055,s_00006,2025-02-14 23:22:33
j_00000203,u_000055,s_00077,2025-01-10 15:29:39
j_00000204,u_000056,s_00038,2025-02-20 19:10:15
j_00000205,u_000056,s_00093,2025-02-01 17:57:56
j_00000206,u_000056,s_00029,2025-01-29 18:44:49
j_00000207,u_000057,s_00058,2025-02-25 16:06:52
j_00000208,u_000057,s_00021,2025-01-20 22:28:40
j_00000209,u_000057,s_00017,2025-01-13 20:27:41
j_00000210,u_000057,s_00082,2025-02-17 23:53:04
j_00000211,u_000058,s_00023,2025-01-07 17:45:09
j_00000212,u_000059,s_00134,2025-02-22 23:52:07
j_00000213,u_000059,s_00121,2025-02-19 12:28:28
j_00000214,u_000059,s_00033,2025-02-28 13:09:35
j_00000215,u_000059,s_00074,2025-01-28 23:43:07
j_00000216,u_000059,s_00023,2025-02-07 21:13:45
j_00000217,u_000059,s_00110,2025-02-22 21:38:32
j_00000218,u_000060,s_00108,2025-01-08 21:24:35
j_00000219,u_000060,s_00044,2025-01-19 22:20:55
j_00000220,u_000060,s_00086,2025-01-29 21:07:35
j_00000221,u_000060,s_00027,2025-02-07 16:48:00
j_00000222,u_000060,s_00103,2025-02-10 23:41:46
j_00000223,u_000061,s_00143,2025-02-25 22:20:52
j_00000224,u_000062,s_00021,2025-01-30 23:44:05
j_00000225,u_000062,s_00066,2025-01-11 23:59:32
j_00000226,u_000062,s_00146,2025-01-12 21:43:28
j_00000227,u_000062,s_00052,2025-02-18 15:56:09
j_00000228,u_000062,s_00006,2025-01-28 23:28:16
j_00000229,u_000062,s_00057,2025-02-07 15:22:51
j_00000230,u_000063,s_00000,2025-02-03 21:50:23
j_00000231,u_000064,s_00138,2025-02-18 18:39:32
j_00000232,u_000064,s_00135,2025-01-14 18:36:46
j_00000233,u_000064,s_00019,2025-01-11 23:38:26
j_00000234,u_000064,s_00096,2025-02-14 20:59:53
j_00000235,u_000065,s_00139,2025-01-27 22:41:29
j_00000236,u_000065,s_00096,2025-02-18 16:48:59
j_00000237,u_000065,s_00120,2025-01-08 19:02:08
j_00000238,u_000066,s_00001,2025-01-17 16:43:53
j_00000239,u_000066,s_00003,2025-02-27 19:19:06
j_00000240,u_000066,s_00052,2025-02-20 19:07:48
j_00000241,u_000066,s_00066,2025-01-04 23:16:39
j_00000242,u_000067,s_00076,2025-02-19 18:49:33
j_00000243,u_000067,s_00053,2025-01-04 11:49:52
j_00000244,u_000067,s_00039,2025-01-08 23:18:38
j_00000245,u_000067,s_00061,2025-02-23 21:11:41
j_00000246,u_000067,s_00107,2025-01-08 19:25:45
j_00000247,u_000067,s_00013,2025-01-19 18:19:50
j_00000248,u_000068,s_00022,2025-01-09 16:27:13
j_00000249,u_000068,s_00019,2025-02-05 23:47:50
j_00000250,u_000068,s_00010,2025-01-04 20:19:35
j_00000251,u_000068,s_00121,2025-01-18 13:10:01
j_00000252,u_000068,s_00056,2025-01-20 21:06:55
j_00000253,u_000068,s_00110,2025-02-08 23:41:46
j_00000254,u_000069,s_00071,2025-01-30 20:11:53
j_00000255,u_000069,s_00143,2025-01-12 16:13:46
j_00000256,u_000070,s_00035,2025-01-28 16:48:20
j_00000257,u_000070,s_00052,2025-01-28 16:05:20
j_00000258,u_000070,s_00122,2025-01-22 23:39:16
j_00000259,u_000070,s_00060,2025-02-02 19:00:24
j_00000260,u_000071,s_00005,2025-01-20 13:56:02
j_00000261,u_000071,s_00009,2025-01-21 21:42:44
j_00000262,u_000071,s_00000,2025-02-17 20:49:45
j_00000263,u_000071,s_00064,2025-01-16 18:39:59
j_00000264,u_000071,s_00077,2025-01-20 15:24:33
j_00000265,u_000071,s_00085,2025-01-09 15:59:59
j_00000266,u_000072,s_00002,2025-02-11 23:47:12
j_00000267,u_000072,s_00026,2025-02-12 20:05:28
j_00000268,u_000072,s_00089,2025-02-10 21:34:46
j_00000269,u_000072,s_00077,2025-01-11 20:32:47
j_00000270,u_000072,s_00148,2025-01-28 21:17:46
j_00000271,u_000073,s_00093,2025-01-18 18:27:27
j_00000272,u_000073,s_00016,2025-02-15 19:58:04
j_00000273,u_000073,s_00006,2025-01-21 23:05:51
j_00000274,u_000073,s_00100,2025-01-25 23:55:22
j_00000275,u_000073,s_00147,2025-01-28 15:42:38
j_00000276,u_000073,s_00009,2025-02-15 19:06:07
j_00000277,u_000074,s_00120,2025-02-12 23:18:56
j_00000278,u_000074,s_00047,2025-02-19 23:50:15
j_00000279,u_000074,s_00021,2025-01-26 23:42:59
j_00000280,u_000075,s_00021,2025-02-19 16:04:42
j_00000281,u_000075,s_00140,2025-02-22 23:08:19
j_00000282,u_000076,s_00094,2025-02-01 20:55:22
j_00000283,u_000076,s_00014,2025-02-10 23:09:58
j_00000284,u_000076,s_00098,2025-02-24 23:37:35
j_00000285,u_000076,s_00055,2025-02-20 14:59:41
j_00000286,u_000077,s_00115,2025-01-17 22:09:36
j_00000287,u_000077,s_00135,2025-02-12 23:02:14
j_00000288,u_000077,s_00030,2025-01-27 19:49:07
j_00000289,u_000077,s_00102,2025-01-09 19:56:00
j_00000290,u_000077,s_00137,2025-01-23 13:30:24
j_00000291,u_000078,s_00065,2025-02-28 22:13:41
j_00000292,u_000078,s_00077,2025-02-27 20:03:18
j_00000293,u_000078,s_00084,2025-02-17 16:54:13
j_00000294,u_000078,s_00149,2025-03-01 18:47:23
j_00000295,u_000078,s_00014,2025-02-04 20:53:13
j_00000296,u_000078,s_00098,2025-02-15 17:47:26
j_00000297,u_000079,s_00051,2025-01-10 20:25:33
j_00000298,u_000079,s_00132,2025-01-18 13:28:16
j_00000299,u_000079,s_00054,2025-01-11 23:22:01
j_00000300,u_000079,s_00004,2025-02-26 20:43:06
j_00000301,u_000079,s_00137,2025-02-06 15:06:24
j_00000302,u_000080,s_00094,2025-02-25 10:02:10
j_00000303,u_000080,s_00021,2025-01-25 23:57:47
j_00000304,u_000080,s_00119,2025-01-25 22:19:09
j_00000305,u_000080,s_00092,2025-02-10 20:02:01
j_00000306,u_000080,s_00061,2025-02-04 23:40:37
j_00000307,u_000081,s_00097,2025-01-23 23:23:37
j_00000308,u_000081,s_00035,2025-01-20 20:13:40
j_00000309,u_000081,s_00125,2025-01-31 18:26:09
j_00000310,u_000081,s_00131,2025-01-05 18:27:40
j_00000311,u_000082,s_00052,2025-01-12 21:36:51
j_00000312,u_000082,s_00037,2025-01-03 23:55:36
j_00000313,u_000083,s_00046,2025-01-10 19:52:23
j_00000314,u_000083,s_00045,2025-01-12 23:49:28
j_00000315,u_000083,s_00142,2025-01-05 21:29:48
j_00000316,u_000084,s_00127,2025-01-04 21:33:08
j_00000317,u_000084,s_00037,2025-02-19 23:07:43
j_00000318,u_000084,s_00081,2025-01-11 23:34:16
j_00000319,u_000085,s_00016,2025-02-03 23:40:52
j_00000320,u_000085,s_00073,2025-01-06 16:53:08
j_00000321,u_000085,s_00093,2025-02-26 23:02:31
j_00000322,u_000085,s_00069,2025-01-15 19:51:24
j_00000323,u_000085,s_00089,2025-02-14 19:31:29
j_00000324,u_000086,s_00024,2025-02-08 11:05:22
j_00000325,u_000086,s_00004,2025-02-16 21:59:02
j_00000326,u_000086,s_00071,2025-02-07 15:27:51
j_00000327,u_000086,s_00060,2025-01-31 21:24:32
j_00000328,u_000087,s_00099,2025-02-16 15:11:36
j_00000329,u_000087,s_00080,2025-02-18 23:04:31
j_00000330,u_000087,s_00014,2025-01-23 22:04:31
j_00000331,u_000087,s_00066,2025-02-26 23:16:36
j_00000332,u_000087,s_00086,2025-03-01 15:17:25
j_00000333,u_000088,s_00053,2025-02-13 23:27:07
j_00000334,u_000089,s_00026,2025-02-25 12:36:01
j_00000335,u_000089,s_00092,2025-01-07 20:59:32
j_00000336,u_000089,s_00030,2025-02-02 17:47:11
j_00000337,u_000089,s_00016,2025-02-09 18:29:27
j_00000338,u_000089,s_00145,2025-02-25 17:54:36
j_00000339,u_000090,s_00066,2025-01-08 16:33:35
j_00000340,u_000090,s_00094,2025-02-18 14:25:10
j_00000341,u_000090,s_00090,2025-01-05 18:13:39
j_00000342,u_000090,s_00084,2025-01-22 20:25:56
j_00000343,u_000091,s_00007,2025-02-11 23:02:21
j_00000344,u_000091,s_00099,2025-01-18 21:09:07
j_00000345,u_000091,s_00062,2025-02-20 23:56:30
j_00000346,u_000091,s_00065,2025-02-25 14:11:37
j_00000347,u_000091,s_00041,2025-01-10 18:34:23
j_00000348,u_000091,s_00127,2025-01-16 22:06:35
j_00000349,u_000092,s_00019,2025-01-05 21:36:45
j_00000350,u_000092,s_00142,2025-02-12 16:58:34
j_00000351,u_000092,s_00132,2025-02-23 23:27:47
j_00000352,u_000093,s_00050,2025-02-06 17:07:08
j_00000353,u_000093,s_00070,2025-01-08 16:01:17
j_00000354,u_000093,s_00126,2025-01-11 21:45:33
j_00000355,u_000094,s_00125,2025-01-03 20:06:15
j_00000356,u_000095,s_00112,2025-01-30 17:19:59
j_00000357,u_000095,s_00056,2025-02-13 17:50:40
j_00000358,u_000095,s_00050,2025-01-10 15:32:24
j_00000359,u_000095,s_00060,2025-02-20 18:52:46
j_00000360,u_000095,s_00124,2025-01-16 23:52:58
j_00000361,u_000096,s_00000,2025-01-31 20:39:00
j_00000362,u_000096,s_00070,2025-02-10 23:56:33
j_00000363,u_000096,s_00054,2025-02-02 22:02:25
j_00000364,u_000096,s_00109,2025-01-29 17:14:45
j_00000365,u_000096,s_00013,2025-01-21 13:16:18
j_00000366,u_000097,s_00082,2025-01-26 16:54:19
j_00000367,u_000097,s_00149,2025-01-15 17:37:45
j_00000368,u_000097,s_00088,2025-01-18 17:15:53
j_00000369,u_000097,s_00006,2025-02-15 23:12:08
j_00000370,u_000097,s_00086,2025-02-22 23:48:36
j_00000371,u_000097,s_00063,2025-02-20 23:51:46
j_00000372,u_000098,s_00115,2025-01-20 16:00:09
j_00000373,u_000099,s_00020,2025-01-20 23:21:39
j_00000374,u_000099,s_00099,2025-01-04 23:32:58
j_00000375,u_000100,s_00142,2025-01-17 19:14:50
j_00000376,u_000100,s_00052,2025-02-05 21:43:11
j_00000377,u_000100,s_00042,2025-01-17 23:45:59
j_00000378,u_000100,s_00049,2025-02-14 19:50:21
j_00000379,u_000100,s_00128,2025-01-04 19:47:28
j_00000380,u_000100,s_00009,2025-01-25 17:50:17
j_00000381,u_000101,s_00131,2025-01-17 10:21:41
j_00000382,u_000102,s_00049,2025-01-30 20:17:07
j_00000383,u_000102,s_00127,2025-01-02 17:18:42
j_00000384,u_000102,s_00083,2025-01-26 15:51:03
j_00000385,u_000102,s_00044,2025-02-17 21:38:50
j_00000386,u_000103,s_00038,2025-02-21 14:19:19
j_00000387,u_000103,s_00139,2025-01-16 23:43:31
j_00000388,u_000103,s_00022,2025-01-26 21:14:13
j_00000389,u_000104,s_00091,2025-02-11 18:15:06
j_00000390,u_000104,s_00025,2025-01-28 19:00:01
j_00000391,u_000104,s_00139,2025-02-02 15:57:58
j_00000392,u_000104,s_00039,2025-01-21 23:14:08
j_00000393,u_000104,s_00014,2025-02-20 20:45:03
j_00000394,u_000104,s_00137,2025-02-07 21:07:30
j_00000395,u_000105,s_00084,2025-02-27 22:02:57
j_00000396,u_000105,s_00107,2025-02-16 17:40:04
j_00000397,u_000105,s_00028,2025-01-23 13:05:15
j_00000398,u_000105,s_00009,2025-01-20 23:08:33
j_00000399,u_000105,s_00131,2025-01-06 22:19:29
j_00000400,u_000105,s_00022,2025-02-07 17:35:08
j_00000401,u_000106,s_00125,2025-02-14 21:01:57
j_00000402,u_000106,s_00019,2025-01-22 23:07:21
j_00000403,u_000106,s_00048,2025-01-02 23:20:40
j_00000404,u_000106,s_00124,2025-02-19 17:42:27
j_00000405,u_000106,s_00000,2025-01-14 14:05:35
j_00000406,u_000106,s_00050,2025-02-04 14:17:54
j_00000407,u_000107,s_00126,2025-01-04 18:11:19
j_00000408,u_000107,s_00108,2025-01-04 23:18:48
j_00000409,u_000108,s_00057,2025-02-23 17:15:17
j_00000410,u_000108,s_00103,2025-02-10 17:38:19
j_00000411,u_000108,s_00068,2025-01-01 17:04:01
j_00000412,u_000108,s_00081,2025-01-07 17:56:20
j_00000413,u_000109,s_00142,2025-01-30 19:14:35
j_00000414,u_000109,s_00066,2025-02-10 14:59:38
j_00000415,u_000109,s_00104,2025-01-26 23:43:25
j_00000416,u_000109,s_00106,2025-02-22 19:21:21
j_00000417,u_000109,s_00108,2025-02-09 23:18:13
j_00000418,u_000110,s_00083,2025-02-06 15:56:54
j_00000419,u_000110,s_00138,2025-01-18 23:59:23
j_00000420,u_000110,s_00061,2025-02-10 23:36:18
j_00000421,u_000110,s_00071,2025-02-22 18:02:56
j_00000422,u_000110,s_00064,2025-01-03 18:54:38
j_00000423,u_000110,s_00090,2025-02-14 16:28:50
j_00000424,u_000111,s_00001,2025-02-22 16:01:23
j_00000425,u_000112,s_00093,2025-01-26 19:48:25
j_00000426,u_000112,s_00100,2025-02-15 20:01:43
j_00000427,u_000112,s_00083,2025-01-22 13:22:58
j_00000428,u_000112,s_00137,2025-01-12 23:04:47
j_00000429,u_000112,s_00035,2025-02-18 18:26:27
j_00000430,u_000112,s_00132,2025-01-19 20:48:35
j_00000431,u_000113,s_00079,2025-02-15 17:07:20
j_00000432,u_000113,s_00070,2025-01-19 18:08:27
j_00000433,u_000113,s_00146,2025-01-24 18:57:23
j_00000434,u_000114,s_00043,2025-02-11 19:10:05
j_00000435,u_000115,s_00131,2025-01-21 19:06:52
j_00000436,u_000115,s_00079,2025-02-18 23:35:08
j_00000437,u_000115,s_00066,2025-01-03 20:16:16
j_00000438,u_000115,s_00135,2025-01-01 22:57:15
j_00000439,u_000116,s_00009,2025-01-05 19:09:13
j_00000440,u_000116,s_00089,2025-01-16 20:34:29
j_00000441,u_000116,s_00082,2025-01-04 19:55:57
j_00000442,u_000116,s_00008,2025-01-23 23:43:19
j_00000443,u_000116,s_00070,2025-01-02 21:01:44
j_00000444,u_000117,s_00007,2025-02-15 19:11:43
j_00000445,u_000118,s_00067,2025-01-10 19:07:45
j_00000446,u_000119,s_00114,2025-02-28 19:54:37
j_00000447,u_000119,s_00042,2025-02-21 20:12:44
j_00000448,u_000119,s_00065,2025-02-11 19:03:45
j_00000449,u_000119,s_00103,2025-02-17 17:22:40
j_00000450,u_000119,s_00097,2025-02-16 23:16:33
j_00000451,u_000119,s_00136,2025-02-20 23:09:05
j_00000452,u_000120,s_00145,2025-02-03 23:27:30
j_00000453,u_000120,s_00010,2025-02-07 17:54:45
j_00000454,u_000120,s_00012,2025-01-29 22:13:20
j_00000455,u_000120,s_00122,2025-02-07 12:58:14
j_00000456,u_000120,s_00142,2025-01-23 23:39:35
j_00000457,u_000120,s_00089,2025-01-08 14:22:07
j_00000458,u_000121,s_00096,2025-02-25 16:40:43
j_00000459,u_000122,s_00089,2025-02-11 21:20:58
j_00000460,u_000122,s_00023,2025-02-12 17:12:29
j_00000461,u_000122,s_00130,2025-01-17 16:14:01
j_00000462,u_000122,s_00091,2025-02-16 18:00:16
j_00000463,u_000122,s_00001,2025-02-01 22:38:01
j_00000464,u_000122,s_00136,2025-01-05 16:04:27
j_00000465,u_000123,s_00035,2025-02-27 19:11:18
j_00000466,u_000123,s_00044,2025-03-01 18:00:46
j_00000467,u_000123,s_00008,2025-02-22 23:03:50
j_00000468,u_000123,s_00108,2025-01-29 23:54:26
j_00000469,u_000123,s_00062,2025-01-14 12:01:58
j_00000470,u_000123,s_00093,2025-01-01 23:37:26
j_00000471,u_000124,s_00076,2025-02-14 17:19:07
j_00000472,u_000124,s_00061,2025-02-23 20:08:54
j_00000473,u_000124,s_00039,2025-01-07 16:17:23
j_00000474,u_000124,s_00016,2025-02-11 21:05:53
j_00000475,u_000124,s_00098,2025-01-02 23:18:44
j_00000476,u_000124,s_00124,2025-02-16 20:49:56
j_00000477,u_000125,s_00025,2025-01-02 18:37:38
j_00000478,u_000125,s_00083,2025-02-28 19:48:35
j_00000479,u_000126,s_00093,2025-01-11 14:41:14
j_00000480,u_000126,s_00149,2025-01-25 23:55:16
